Test Start Time: Fri Dec 22 15:56:47 2023
-----------------------------------------
Testcase                                           Result     Exit Value
pipe12                                             PASS       0    
pipe13                                             PASS       0    
pipe14                                             PASS       0    
pipe2_01                                           PASS       0    
pipe2_02                                           PASS       0    
pipe2_04                                           PASS       0    
pivot_root01                                       PASS       0    
poll01                                             PASS       0    
poll02                                             PASS       0    
ppoll01                                            PASS       0    
prctl01                                            PASS       0    
prctl02                                            PASS       0    
prctl03                                            PASS       0    
prctl04                                            PASS       0    
prctl05                                            PASS       0    
prctl06                                            FAIL       6    
prctl07                                            PASS       0    
prctl08                                            PASS       0    
prctl09                                            PASS       0    
prctl10                                            CONF       32   
pread01                                            PASS       0    
pread01_64                                         PASS       0    
pread02                                            PASS       0    
pread02_64                                         PASS       0    
preadv01                                           PASS       0    
preadv01_64                                        PASS       0    
preadv02                                           PASS       0    
preadv02_64                                        PASS       0    
preadv03                                           FAIL       6    
preadv03_64                                        FAIL       6    
preadv201                                          PASS       0    
preadv201_64                                       PASS       0    
preadv202                                          PASS       0    
preadv202_64                                       PASS       0    
preadv203                                          FAIL       6    
preadv203_64                                       FAIL       6    
profil01                                           PASS       0    
process_vm_readv01                                 PASS       0    
process_vm_readv02                                 PASS       0    
process_vm_readv03                                 PASS       0    
process_vm_writev01                                PASS       0    
process_vm_writev02                                PASS       0    
process_madvise01                                  CONF       32   
prot_hsymlinks                                     PASS       0    
dirtyc0w                                           PASS       0    
dirtyc0w_shmem                                     PASS       0    
dirtypipe                                          PASS       0    
pselect01                                          PASS       0    
pselect01_64                                       PASS       0    
pselect02                                          PASS       0    
pselect02_64                                       PASS       0    
pselect03                                          PASS       0    
pselect03_64                                       PASS       0    
ptrace01                                           PASS       0    
ptrace02                                           PASS       0    
ptrace03                                           PASS       0    
ptrace04                                           CONF       32   
ptrace05                                           PASS       0    
ptrace07                                           CONF       32   
ptrace08                                           CONF       32   
ptrace09                                           CONF       32   
ptrace10                                           CONF       32   
ptrace11                                           PASS       0    
pwrite01                                           PASS       0    
pwrite02                                           PASS       0    
pwrite03                                           PASS       0    
pwrite04                                           PASS       0    
pwrite01_64                                        PASS       0    
pwrite02_64                                        PASS       0    
pwrite03_64                                        PASS       0    
pwrite04_64                                        PASS       0    
pwritev01                                          PASS       0    
pwritev01_64                                       PASS       0    
pwritev02                                          PASS       0    
pwritev02_64                                       PASS       0    
pwritev03                                          FAIL       6    
pwritev03_64                                       FAIL       6    
pwritev201                                         PASS       0    
pwritev201_64                                      PASS       0    
pwritev202                                         PASS       0    
pwritev202_64                                      PASS       0    
quotactl01                                         CONF       32   
quotactl02                                         CONF       32   
quotactl03                                         CONF       32   
quotactl04                                         CONF       32   
quotactl05                                         CONF       32   
quotactl06                                         CONF       32   
quotactl07                                         CONF       32   
quotactl08                                         CONF       32   
quotactl09                                         CONF       32   
read01                                             PASS       0    
read02                                             PASS       0    
read03                                             PASS       0    
read04                                             PASS       0    
readahead01                                        PASS       0    
readahead02                                        FAIL       6    
readdir01                                          PASS       0    
readdir21                                          CONF       32   
readlink01A                                        PASS       0    
readlink01                                         PASS       0    
readlink03                                         PASS       0    
readlinkat01                                       PASS       0    
